Store,Brand,Description,Week,SalesQuantity,TotalSalesPrice,PurchaseQuantity,TotalPurchasePrice,BegInv,EndInv,COGS,InventoryValue,InventoryTurnover,DOI
2,482,Seagrams 7 Crown,6,1,19.99,0,0,17,16,14.7,235.2,0.890909091,58.36734694
2,482,Seagrams 7 Crown,7,1,19.99,0,0,16,15,14.7,220.5,0.948387097,54.82993197
2,482,Seagrams 7 Crown,8,3,59.97,0,0,15,12,44.1,176.4,3.266666667,15.91836735
2,482,Seagrams 7 Crown,9,4,115.96,0,0,30,42,92.04,966.42,2.556666667,20.33898305
2,508,Bacardi Superior Rum,1,56,727.44,0,0,106,78,547.12,762.06,5.946956522,8.743968416
2,508,Bacardi Superior Rum,2,4,51.96,0,0,13,22,39.08,214.94,2.233142857,23.28556807
2,508,Bacardi Superior Rum,3,12,155.88,48,468.96,106,142,117.24,1387.34,0.945483871,54.9982941
2,508,Bacardi Superior Rum,4,72,935.28,48,468.96,148,124,703.44,1211.48,5.172352941,10.05345161
2,508,Bacardi Superior Rum,5,12,155.88,48,468.96,130,166,117.24,1621.82,0.792162162,65.64312521
2,508,Bacardi Superior Rum,6,4,41.96,0,0,38,36,28.36,255.24,0.766486486,67.84203103
2,508,Bacardi Superior Rum,7,24,251.76,48,340.32,60,84,170.16,595.56,2.363333333,22.00282087
2,508,Bacardi Superior Rum,8,5,52.45,0,0,18,19,35.45,134.71,1.916216216,27.13681241
2,508,Bacardi Superior Rum,9,8,319.92,24,744,24,40,248,1240,7.75,6.709677419
2,597,Baileys Irish Cream,1,8,223.92,0,0,196,192,172.24,4133.76,0.887835052,58.56943799
2,597,Baileys Irish Cream,2,3,83.97,0,0,32,61,64.59,1313.33,1.389032258,37.43613562
2,597,Baileys Irish Cream,3,2,55.98,0,0,61,59,43.06,1270.27,0.717666667,72.45703669
2,597,Baileys Irish Cream,4,2,55.98,0,0,59,57,43.06,1227.21,0.742413793,70.04180214
2,597,Baileys Irish Cream,5,1,14.49,0,0,51,50,9.99,499.5,0.197821782,262.8628629
2,597,Baileys Irish Cream,6,2,28.98,0,0,50,48,19.98,479.52,0.407755102,127.5275275
2,597,Baileys Irish Cream,7,3,43.47,0,0,48,45,29.97,449.55,0.644516129,80.68068068
2,597,Baileys Irish Cream,8,1,12.99,0,0,16,15,8.65,129.75,0.558064516,93.17919075
2,597,Baileys Irish Cream,9,1,12.99,0,0,15,14,8.65,121.1,0.596551724,87.16763006
2,757,Jim Beam Rye,1,4,71.96,0,0,54,78,55.8,1088.1,0.845454545,61.50537634
2,757,Jim Beam Rye,2,1,17.99,0,0,26,25,13.95,348.75,0.547058824,95.05376344
2,757,Jim Beam Rye,3,4,71.96,0,0,25,21,55.8,292.95,2.426086957,21.43369176
2,757,Jim Beam Rye,4,8,79.92,0,0,40,36,63.92,287.64,1.682105263,30.91364205
2,757,Jim Beam Rye,5,1,13.99,0,0,6,11,7.99,87.89,0.94,55.31914894
2,757,Jim Beam Rye,6,12,167.88,48,383.52,80,98,95.88,783.02,1.077303371,48.26866917
2,757,Jim Beam Rye,7,8,79.92,0,0,52,48,57.52,345.12,1.1504,45.20166898
2,757,Jim Beam Rye,8,1,13.99,0,0,8,15,7.19,107.85,0.625217391,83.17107093
2,757,Jim Beam Rye,9,1,13.99,0,0,15,14,7.19,100.66,0.495862069,104.867872
2,811,Jack Daniels No 7 Black,1,54,1547.46,99,1964.16,225,360,1071.36,7142.4,3.662769231,14.1969086
2,811,Jack Daniels No 7 Black,2,5,159.95,0,0,60,55,99.2,1091.2,1.725217391,30.14112903
2,811,Jack Daniels No 7 Black,3,3,95.97,0,0,55,52,59.52,1031.68,1.112523364,46.7405914
2,811,Jack Daniels No 7 Black,4,12,383.88,44,872.96,224,256,238.08,5079.04,0.992,52.41935484
2,811,Jack Daniels No 7 Black,5,1,31.99,0,0,68,67,19.84,1329.28,0.293925926,176.9153226
2,811,Jack Daniels No 7 Black,6,3,68.97,0,0,26,23,51.09,391.69,2.085306122,24.93638677
2,811,Jack Daniels No 7 Black,7,1,22.99,0,0,23,22,17.03,374.66,0.756888889,68.70229008
2,811,Jack Daniels No 7 Black,8,7,160.93,0,0,22,15,119.21,255.45,6.443783784,8.069792803
2,811,Jack Daniels No 7 Black,9,1,38.99,0,0,6,5,27.99,139.95,5.089090909,10.21793498
2,822,Tanqueray,1,9,242.91,99,1979.01,204,234,179.91,4677.66,0.821506849,63.29831582
2,822,Tanqueray,2,1,26.99,0,0,13,38,19.99,759.62,0.783921569,66.33316658
2,822,Tanqueray,3,1,26.99,0,0,38,37,19.99,739.63,0.533066667,97.54877439
2,822,Tanqueray,4,5,134.95,0,0,37,32,99.95,639.68,2.897101449,17.94897449
2,822,Tanqueray,5,1,26.99,0,0,32,31,19.99,619.69,0.634603175,81.94097049
2,822,Tanqueray,6,8,215.92,0,0,82,78,166.08,1619.28,2.076,25.04816956
2,822,Tanqueray,7,2,53.98,0,0,13,24,41.52,498.24,2.244324324,23.16955684
2,822,Tanqueray,8,3,80.97,0,0,24,21,62.28,435.96,2.768,18.78612717
2,822,Tanqueray,9,3,80.97,0,0,21,18,62.28,373.68,3.193846154,16.28131021
2,857,Kahlua,1,4,63.96,0,0,50,48,46.68,560.16,0.952653061,54.58440446
2,857,Kahlua,2,4,63.96,48,560.16,70,130,46.68,1517.1,0.4668,111.3967438
2,857,Kahlua,3,18,413.82,108,1746.36,345,450,291.06,7276.5,0.732226415,71.0162853
2,857,Kahlua,4,2,47.98,0,0,50,73,32.34,1180.41,0.525853659,98.88682746
2,857,Kahlua,5,2,47.98,0,0,73,71,32.34,1148.07,0.449166667,115.7699443
2,857,Kahlua,6,3,71.97,0,0,71,68,48.51,1099.56,0.697985612,74.50010307
2,857,Kahlua,7,4,47.96,0,0,56,54,35.8,483.3,0.650909091,79.88826816
2,857,Kahlua,8,28,335.72,48,429.6,74,102,250.6,912.9,2.847727273,18.26017558
2,857,Kahlua,9,1,11.99,0,0,23,27,8.95,241.65,0.358,145.2513966
2,984,Patron XO Cafe Liqueur,1,2,31.98,0,0,10,8,24.22,96.88,2.691111111,19.32287366
2,984,Patron XO Cafe Liqueur,2,18,467.82,54,1114.02,120,198,371.34,4084.74,2.335471698,22.26530942
2,984,Patron XO Cafe Liqueur,3,1,26.99,0,0,33,32,20.63,660.16,0.634769231,81.91953466
2,984,Patron XO Cafe Liqueur,4,20,539.8,24,495.12,132,134,412.6,2764.42,3.102255639,16.76199709
2,984,Patron XO Cafe Liqueur,5,2,53.98,0,0,33,32,41.26,660.16,1.269538462,40.95976733
2,984,Patron XO Cafe Liqueur,6,4,139.96,0,0,20,18,109.36,492.12,5.755789474,9.034381858
2,984,Patron XO Cafe Liqueur,7,2,69.98,0,0,3,4,54.68,109.36,15.62285714,3.328456474
2,984,Patron XO Cafe Liqueur,8,1,34.99,0,0,4,3,27.34,82.02,7.811428571,6.656912948
2,984,Patron XO Cafe Liqueur,9,1,18.99,0,0,18,17,10.29,174.93,0.588,88.43537415
3,44854,Duckhorn Merlot Napa,1,4,231.96,0,0,58,84,141.48,2971.08,1.992676056,26.09556121
3,44854,Duckhorn Merlot Napa,2,1,57.99,0,0,28,27,35.37,954.99,1.286181818,40.42974272
3,44854,Duckhorn Merlot Napa,3,1,57.99,0,0,27,26,35.37,919.62,1.334716981,38.95957026
3,44854,Duckhorn Merlot Napa,4,48,2783.52,48,1697.76,104,104,1697.76,3678.48,16.32461538,3.185373669
3,44854,Duckhorn Merlot Napa,5,4,63.96,0,0,74,72,30.84,555.12,0.422465753,123.0869001
3,44854,Duckhorn Merlot Napa,6,2,31.98,0,0,12,22,15.42,169.62,0.907058824,57.32814527
3,44854,Duckhorn Merlot Napa,7,2,31.98,0,0,22,20,15.42,154.2,0.734285714,70.81712062
3,44854,Duckhorn Merlot Napa,8,1,15.99,0,0,20,19,7.71,146.49,0.395384615,131.5175097
3,44854,Duckhorn Merlot Napa,9,4,59.96,0,0,42,60,41.36,620.4,0.810980392,64.11992263
3,38546,Mark West Pnt Nr Sonoma,1,1,28.99,0,0,6,5,15.68,78.4,2.850909091,18.23979592
3,38546,Mark West Pnt Nr Sonoma,2,8,75.92,0,0,130,126,40.48,637.56,0.31625,164.4268775
3,38546,Mark West Pnt Nr Sonoma,3,1,9.99,0,0,21,41,5.06,207.46,0.163225806,318.5770751
3,38546,Mark West Pnt Nr Sonoma,4,2,19.98,0,0,41,39,10.12,197.34,0.253,205.5335968
3,38546,Mark West Pnt Nr Sonoma,5,4,39.96,0,0,39,35,20.24,177.1,0.547027027,95.05928854
3,38546,Mark West Pnt Nr Sonoma,6,1,9.99,0,0,35,34,5.06,172.04,0.146666667,354.5454545
3,38546,Mark West Pnt Nr Sonoma,7,3,38.97,0,0,46,43,19.77,283.37,0.444269663,117.0460293
3,38546,Mark West Pnt Nr Sonoma,8,3,38.97,0,0,43,40,19.77,263.6,0.476385542,109.1552858
3,38546,Mark West Pnt Nr Sonoma,9,1,12.99,0,0,40,39,6.59,257.01,0.166835443,311.6843703
3,33149,Alamos Ridge Malbec Mendoza,1,4,35.96,0,0,104,102,19.16,488.58,0.186019417,279.5407098
3,33149,Alamos Ridge Malbec Mendoza,2,1,9.99,0,0,17,33,4.79,158.07,0.1916,271.3987474
3,33149,Alamos Ridge Malbec Mendoza,3,1,9.99,0,0,33,32,4.79,153.28,0.147384615,352.8183716
3,33149,Alamos Ridge Malbec Mendoza,4,1,9.99,0,0,32,31,4.79,148.49,0.152063492,341.9624217
3,33149,Alamos Ridge Malbec Mendoza,5,4,39.96,0,0,66,96,25.96,623.04,0.320493827,162.2496148
3,33149,Alamos Ridge Malbec Mendoza,6,1,9.99,0,0,32,31,6.49,201.19,0.206031746,252.3882897
3,33149,Alamos Ridge Malbec Mendoza,7,2,19.98,0,0,31,29,12.98,188.21,0.432666667,120.1848998
3,33149,Alamos Ridge Malbec Mendoza,8,1,9.99,0,0,29,28,6.49,181.72,0.227719298,228.3513097
3,33149,Alamos Ridge Malbec Mendoza,9,1,15.99,0,0,40,39,8.27,322.53,0.209367089,248.3675937
3,11219,Josh Cellars Cab Svgn Sonoma,1,4,87.96,0,0,70,102,46.84,1194.42,0.544651163,95.47395389
3,11219,Josh Cellars Cab Svgn Sonoma,2,1,21.99,0,0,34,33,11.71,386.43,0.349552239,148.7617421
3,11219,Josh Cellars Cab Svgn Sonoma,3,1,21.99,0,0,33,32,11.71,374.72,0.360307692,144.3210931
3,11219,Josh Cellars Cab Svgn Sonoma,4,3,65.97,0,0,32,29,35.13,339.59,1.151803279,45.14659835
3,11219,Josh Cellars Cab Svgn Sonoma,5,4,59.96,0,0,92,90,33.76,759.6,0.370989011,140.1658768
3,11219,Josh Cellars Cab Svgn Sonoma,6,1,14.99,0,0,15,29,8.44,244.76,0.383636364,135.5450237
3,11219,Josh Cellars Cab Svgn Sonoma,7,1,14.99,0,0,29,28,8.44,236.32,0.296140351,175.5924171
3,11219,Josh Cellars Cab Svgn Sonoma,8,4,59.96,0,0,28,24,33.76,202.56,1.298461538,40.04739336
3,11219,Josh Cellars Cab Svgn Sonoma,9,20,299.8,48,405.12,110,138,168.8,1164.72,1.361290323,38.19905213
3,8910,Finlandia Vodka,1,148,146.52,0,0,716,642,113.96,494.34,0.167835052,309.8280098
3,8910,Finlandia Vodka,2,33,32.67,0,0,107,181,25.41,139.37,0.176458333,294.6871311
3,8910,Finlandia Vodka,3,88,87.12,480,369.6,920,1312,67.76,1010.24,0.060716846,856.4344746
3,8910,Finlandia Vodka,4,20,19.8,0,0,377,357,15.4,274.89,0.041961853,1239.220779
3,8910,Finlandia Vodka,5,9,8.91,0,0,357,348,6.93,267.96,0.019659574,2645.021645
3,8910,Finlandia Vodka,6,24,47.76,0,0,382,549,35.04,801.54,0.075273899,690.8105023
3,8910,Finlandia Vodka,7,7,13.93,0,0,549,542,10.22,791.32,0.018735105,2775.53816
3,8910,Finlandia Vodka,8,3,5.97,0,0,542,539,4.38,786.94,0.008103608,6416.894977
3,8910,Finlandia Vodka,9,4,7.96,0,0,539,535,5.84,781.1,0.010875233,4781.506849
3,8726,Baileys Irish Cream,1,24,47.76,0,0,472,690,34.32,986.7,0.059070568,880.3030303
3,8726,Baileys Irish Cream,2,15,29.85,0,0,230,215,21.45,307.45,0.096404494,539.3939394
3,8726,Baileys Irish Cream,3,13,25.87,0,0,215,202,18.59,288.86,0.089160671,583.2167832
3,8726,Baileys Irish Cream,4,15,29.85,0,0,202,187,21.45,267.41,0.110282776,471.5151515
3,8726,Baileys Irish Cream,5,20,39.8,316,451.88,1044,1192,28.6,1704.56,0.025581395,2032.727273
3,8726,Baileys Irish Cream,6,9,161.91,108,1014.12,237,270,84.51,2535.3,0.333372781,155.9815406
3,8726,Baileys Irish Cream,7,1,17.99,0,0,15,44,9.39,413.16,0.318305085,163.3652822
3,8726,Baileys Irish Cream,8,2,35.98,0,0,44,42,18.78,394.38,0.436744186,119.0628328
